CART,TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
,183426,LL426,26,-123,-7,0,-,-,P,R,-,-,-,5,P.BALLONE
,183437,LL426,26,-123,-7,0,-,-,P,R,-,-,-,5,P.BALLONE
,185001,LL426,26,93,-44,285,328,-,P,R,-,-,0444,7,P.BALLONE
,185011,LL426,26,92,-44,285,328,-,P,R,-,-,0444,7,P.BALLONE
,185021,LL426,26,91,-43,285,328,-,P,R,-,-,0444,7,P.BALLONE
,185122,LL426,26,86,-39,293,315,-,P,R,-,-,0444,7,P.BALLONE
,185132,LL426,26,85,-38,293,315,-,P,R,-,-,0444,7,P.BALLONE
,185142,LL426,26,84,-38,313,312,-,P,R,-,-,0444,7,P.BALLONE
,185152,LL426,26,84,-37,313,312,-,P,R,-,-,0444,7,P.BALLONE
,185225,LL426,26,81,-35,316,303,-,P,L,-,-,0444,7,P.BALLONE
,185249,LL426,26,79,-34,322,297,-,P,L,-,-,0444,7,P.BALLONE
,185313,LL426,26,76,-35,323,268,-,P,L,-,-,0444,7,P.BALLONE
,185324,LL426,26,76,-32,323,311,-,P,L,-,-,0444,7,P.BALLONE
,185336,LL426,26,76,-31,322,327,-,P,L,-,-,0444,7,P.BALLONE
,185511,LL426,26,70,-24,347,324,-,P,L,-,-,0444,7,P.BALLONE
,185522,LL426,26,69,-22,353,325,-,P,L,-,-,0444,7,P.BALLONE
,185534,LL426,26,68,-24,353,290,-,F,L,-,-,0444,7,P.BALLONE
,185558,LL426,26,67,-21,357,323,-,F,L,-,-,0444,7,P.BALLONE
,185622,LL426,26,65,-19,357,336,-,F,L,-,-,0444,7,P.BALLONE
,185808,LL426,26,58,-11,352,333,-,F,L,-,-,0444,7,P.BALLONE
,185918,LL426,26,54,-5,374,327,-,F,L,-,-,0444,7,P.BALLONE
,190006,LL426,26,51,0,398,325,-,F,L,-,-,0444,7,P.BALLONE
,190041,LL426,26,48,1,393,319,-,F,L,-,-,0444,7,P.BALLONE
,190053,LL426,26,47,0,392,292,-,F,L,-,-,0444,7,P.BALLONE
,190140,LL426,26,44,3,385,312,-,F,L,-,-,0444,7,P.BALLONE
,190152,LL426,26,43,4,380,312,-,F,L,-,-,0444,7,P.BALLONE
,190303,LL426,26,38,12,380,328,-,F,L,-,-,0444,7,P.BALLONE
,190327,LL426,26,36,13,382,327,-,F,L,-,-,0444,7,P.BALLONE
,190338,LL426,26,35,14,384,325,-,F,L,-,-,0444,7,P.BALLONE
,190402,LL426,26,34,15,346,319,-,F,L,-,-,0444,7,P.BALLONE
,190413,LL426,26,33,15,323,316,-,F,L,-,-,0444,7,P.BALLONE
,190425,LL426,26,32,16,313,315,-,F,L,-,-,0444,7,P.BALLONE
,190437,LL426,26,32,17,310,316,-,F,L,-,-,0444,7,P.BALLONE
,190500,LL426,26,31,18,319,319,-,F,L,-,-,-,7,P.BALLONE
,190512,LL426,26,30,20,322,323,-,F,L,-,-,-,7,P.BALLONE
