TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
182223,LE026,26,-113.36,45.031,315.06,169.06,0,PP
182232,LE026,26,-113.04,44.109,315.06,169.06,0,PP
182243,LE026,26,-112.73,43.203,315.06,169.06,0,PP
182252,LE026,26,-112.42,42.188,315.06,169.06,0,PP
182303,LE026,26,-112.25,41.156,324.94,164.31,0,PP
182313,LE026,26,-111.81,40.109,324.94,164.31,0,PP
182323,LE026,26,-111.51,38.953,324.94,164.31,0,PP
182332,LE026,26,-111.09,37.908,324.94,164.31,0,PP
182343,LG461,52,-110.67,36.750,385.88,163.03,0,PP
182353,LG461,52,-110.37,35.703,385.88,163.03,0,PP
182403,LG461,52,-109.95,34.547,385.88,163.03,0,PP
182414,LG461,52,-109.51,33.375,385.88,163.03,0,PP
182423,LG461,52,-109.32,32.469,385.88,163.03,0,PP
182433,LG461,52,-109.04,31.313,385.88,163.03,0,PP
182532,LE157,4,-109.06,25.766,436.69,157.75,10500,PP
182540,LE157,4,-108.31,23.964,396.25,156.56,10500,PP
182550,LE157,4,-110.56,24.250,396.25,156.56,10500,PP
182600,LE157,4,-111.23,23.047,451.38,213.56,10500,PP
182603,LE157,4,-110.26,22.813,451.38,213.56,10500,PP
182610,LE157,4,-110.67,22.106,451.38,213.56,10500,PP
182620,LE157,4,-111.23,20.922,451.38,213.56,10500,PP
182630,LE157,4,-109.54,19.813,411.75,211.38,10500,PP
182633,LE157,4,-107.51,19.203,423.56,161.09,10500,PP
182640,LE157,4,-107.40,18.313,423.56,161.09,10500,PP
182643,LE157,4,-106.96,18.016,423.56,161.09,10500,PP
182653,LE157,4,-106.55,16.859,423.56,161.09,10500,PP
182700,LE157,4,-106.29,15.984,423.56,161.09,10500,PP
182703,LE157,4,-107.23,16.156,423.56,161.09,10500,PP
182710,LE157,4,-106.39,14.359,376.00,156.47,10500,PP
182713,LE157,4,-107.18,15.125,397.25,172.38,10500,PP
182720,LE157,4,-97.155,12.172,1069.1,116.56,10500,PP
182723,LE157,4,-107.01,13.984,1069.1,116.56,10500,PP
182730,LE157,4,-95.109,10.797,1069.1,116.56,10500,PP
182733,LE157,4,-106.64,12.844,1069.1,116.56,10500,PP
182741,LE157,4,-92.328,9.3590,1069.1,116.56,10500,PP
182743,LE157,4,-104.64,11.922,1069.1,116.56,10500,PP
182750,LE157,4,-89.781,7.9688,1069.1,116.56,10500,PP
182753,LE157,4,-103.96,10.859,412.81,141.56,10500,PP
182801,LE157,4,-87.109,6.5469,1055.5,118.43,10500,PP
